time,accX,accY,accZ,gyroX,gyroY,gyroZ,magX,magY,magZ
13036.761,-0.717,-0.018,0.643,-2.502,-41.829,-1.435,-13.9670488759823,-7.17443544018927,-43.9561615454073
13059.957,-0.717,-0.018,0.643,-2.502,-41.829,-1.435,-9.0591527079411,-7.53316248916122,-44.9724068961462
13115.545,-0.677,-0.052,0.824,-0.8,-54.906,2.738,-9.0591527079411,-7.53316248916122,-44.9724068961462
13159.239,-0.677,-0.052,0.824,-0.8,-54.906,2.738,-7.19057099728153,-6.44980415212177,-45.206925054009
13196.368,-0.639,-0.022,0.754,3.023,-29.745,3.211,-7.19057099728153,-6.44980415212177,-45.206925054009
13258.521,-0.639,-0.022,0.754,3.023,-29.745,3.211,-4.5004222061537,-7.41199187503199,-45.3632704925842
13275.149,-0.621,-0.008,0.783,4.536,-27.886,5.11,-4.5004222061537,-7.41199187503199,-45.3632704925842
13353.709,-0.587,0.012,0.833,7.161,-31.018,3.911,-4.5004222061537,-7.41199187503199,-45.3632704925842
13356.402,-0.587,0.012,0.833,7.161,-31.018,3.911,-0.990981380957005,-7.89376927840364,-45.1287523347214
13434.539,-0.541,0.016,0.815,14.363,-36.522,2.458,-0.990981380957005,-7.89376927840364,-45.1287523347214
13455.683,-0.541,0.016,0.815,14.363,-36.522,2.458,0.880366339205384,-7.17272658539794,-44.7378887382834
13513.322,-0.498,0.057,0.881,7.293,-47.801,4.987,0.880366339205384,-7.17272658539794,-44.7378887382834
13554.968,-0.498,0.057,0.881,7.293,-47.801,4.987,4.97214346996677,-8.25420518216693,-45.3632704925842
13594.15,-0.437,0.049,0.971,1.155,-47.425,-0.975,4.97214346996677,-8.25420518216693,-45.3632704925842
13654.258,-0.437,0.049,0.971,1.155,-47.425,-0.975,7.19794446815357,-8.97798204283877,-44.5033705804206
13672.934,-0.376,0.037,0.969,3.259,-41.181,-2.432,7.19794446815357,-8.97798204283877,-44.5033705804206
13751.488,-0.343,0.04,0.94,6.973,-24.784,-6.164,8.48463401401829,-9.93999888026986,-44.7378887382834
13832.317,-0.329,0.039,0.919,5.503,-18.108,-6.921,8.48463401401829,-9.93999888026986,-44.7378887382834
13851.413,-0.329,0.039,0.919,5.503,-18.108,-6.921,10.3572834489065,-9.33995591591425,-44.0343342646949
13911.097,-0.289,0.012,0.969,-6.26,-25.02,-5.871,10.3572834489065,-9.33995591591425,-44.0343342646949
13950.698,-0.289,0.012,0.969,-6.26,-25.02,-5.871,11.9926116187547,-9.33893060303945,-44.5033705804206
13989.875,-0.265,0,0.963,-4.659,-22.767,-4.003,11.9926116187547,-9.33893060303945,-44.5033705804206
14049.979,-0.265,0,0.963,-4.659,-22.767,-4.003,13.0441806390114,-7.89581990415325,-44.1906797032701
